sl.no,smiles_format,xyz_file,energy
169,[CH]C(C)C,c6h8_aggregates_ag_a_004_b_008_004_selected_result_006_001_ag_a_004_b_008.xyz,-156.997297
170,[CH]CCC,c5h8_aggregates_ag_a_004_b_008_007_selected_result_031_000_ag_a_004_b_008.xyz,-156.991723
171,C[C](C)C,c7h10_aggregates_ag_a_004_b_009_005_selected_result_023_002_ag_a_004_b_009.xyz,-157.551641
172,[CH2]CCC,c5h10_aggregates_ag_a_004_b_009_004_selected_result_030_000_ag_a_004_b_009.xyz,-157.551641
173,C[CH]CC,c6h10_aggregates_ag_a_004_b_009_006_selected_result_015_000_ag_a_004_b_009.xyz,-157.558422
174,[CH2]C(C)C,c7h10_aggregates_ag_a_004_b_009_002_selected_result_024_001_ag_a_004_b_009.xyz,-157.551766
175,CCCC,c4h10_aggregates_ag_a_004_b_010_006_selected_result_020_000_ag_a_004_b_010.xyz,-158.219509
176,CC(C)C,c4h10_aggregates_ag_a_004_b_010_001_selected_result_020_000_ag_a_004_b_010.xyz,-158.220126
177,C#C[C]1[C][C]1,c9h8_aggregates_ag_a_005_b_001_008_selected_result_023_002_ag_a_005_b_001.xyz,-190.580445
178,[C]#C[CH]C#[C],c8h2_aggregates_ag_a_005_b_001_005_selected_result_012_000_ag_a_005_b_001.xyz,-190.507183
179,[C]1[C]2[C]3[CH][C@]123,c7h4_aggregates_ag_a_005_b_001_006_selected_result_007_003_ag_a_005_b_001.xyz,-190.500263
180,[C]1[C]C12[C][CH]2,c7h4_aggregates_ag_a_005_b_001_003_selected_result_001_003_ag_a_005_b_001.xyz,-190.557441
181,[C]C#CC#C,c10h10_aggregates_ag_a_005_b_001_002_selected_result_022_000_ag_a_005_b_001.xyz,-190.595074
182,[C]12[C]3[C@H]4[C]1[C@]234,c8h1_aggregates_ag_a_005_b_001_000_selected_result_018_001_ag_a_005_b_001.xyz,-190.455052
182,[C]=C1[C]2[CH][C]21,c9h9_aggregates_ag_a_005_b_001_008_selected_result_000_000_ag_a_005_b_001.xyz,-190.508536
184,[C]1[C]2[C]3[CH][C@@]123,c6h1_aggregates_ag_a_005_b_001_004_selected_result_015_000_ag_a_005_b_001.xyz,-190.500264
185,[C]#CC1=C[C]1,c5h1_aggregates_ag_a_005_b_001_000_selected_result_026_002_ag_a_005_b_001.xyz,-190.557438
186,[C]C#CC=[C],c5h1_aggregates_ag_a_005_b_001_002_selected_result_023_001_ag_a_005_b_001.xyz,-190.595040
187,[C]1[C]2[C@@H]3[C][C@]123,c8h2_aggregates_ag_a_005_b_001_005_selected_result_015_001_ag_a_005_b_001.xyz,-190.475151
188,[C]1[C]2[C@H]3[C][C@@]123,c9h3_aggregates_ag_a_005_b_001_005_selected_result_009_001_ag_a_005_b_001.xyz,-190.475151

1,C#CC1=C[C]1,c5h4_aggregates_ag_a_005_b_002_004_selected_result_003_001_ag_a_005_b_002.xyz,-191.248217
2,[C]1[CH]C12[C][CH]2,c7h4_aggregates_ag_a_005_b_002_009_selected_result_026_000_ag_a_005_b_002.xyz,-191.177684
4,[C]C1=C([CH2])[C]1,c9h4_aggregates_ag_a_005_b_002_005_selected_result_028_001_ag_a_005_b_002.xyz,-191.155761
5,[CH][C]1[C]2[CH][C]12,c6h3_aggregates_ag_a_005_b_002_009_selected_result_023_001_ag_a_005_b_002.xyz,-191.159332
7,[C]#C[CH]C#C,c9h5_aggregates_ag_a_005_b_002_008_selected_result_006_000_ag_a_005_b_002.xyz,-191.223481
10,C#C[C]C#C,c7h4_aggregates_ag_a_005_b_002_007_selected_result_019_001_ag_a_005_b_002.xyz,-191.226877
14,[C]1[C@]23[C@@H]4[C@H]2[C@@]143,c8h4_aggregates_ag_a_005_b_002_000_selected_result_013_001_ag_a_005_b_002.xyz,-191.130191
