sl.no,smiles_format,xyz_file,energy,Formula,Mol_wt
106,[C]=C1CC1,c5h9_aggregates_ag_a_004_b_004_007_selected_result_031_004_ag_a_004_b_004.xyz,-154.432522,C4H4,52.108
107,[CH]1[C]2C[C@@H]12,c7h8_aggregates_ag_a_004_b_004_009_selected_result_013_000_ag_a_004_b_004.xyz,-154.449631,C4H4,52.108
108,[CH]C=C=C,c4h4_aggregates_ag_a_004_b_004_004_selected_result_019_002_ag_a_004_b_004.xyz,-154.413934,C4H4,52.108
113,[CH]=C=[C]C,c10h8_aggregates_ag_a_004_b_004_002_selected_result_027_000_ag_a_004_b_004.xyz,-154.431152,C4H4,52.108
110,C=C1[C]C1,c4h4_aggregates_ag_a_004_b_004_004_selected_result_031_002_ag_a_004_b_004.xyz,-154.411516,C4H4,52.108
111,[CH][CH][C]=C,c4h4_aggregates_ag_a_004_b_004_000_selected_result_025_000_ag_a_004_b_004.xyz,,C4H4,52.108
112,[C]=CC=C,c4h7_aggregates_ag_a_004_b_004_006_selected_result_007_000_ag_a_004_b_004.xyz,-154.446146,C4H4,52.108
104,[CH]C#CC,c4h8_aggregates_ag_a_004_b_004_008_selected_result_017_000_ag_a_004_b_004.xyz,-154.431135,C4H4,52.108
109,[C]=C([CH])C,c10h10_aggregates_ag_a_004_b_004_003_selected_result_023_001_ag_a_004_b_004.xyz,,C4H4,52.108
103,[CH]=[C][C]C,c10h6_aggregates_ag_a_004_b_004_005_selected_result_012_000_ag_a_004_b_004.xyz,-154.431151,C4H4,52.108
100,[CH]1[C]2C[C@H]12,c5h6_aggregates_ag_a_004_b_004_001_selected_result_015_003_ag_a_004_b_004.xyz,-154.449636,C4H4,52.108
101,[CH]/[C]=[C]/C,c4h4_aggregates_ag_a_004_b_004_000_selected_result_007_000_ag_a_004_b_004.xyz,-154.431151,C4H4,52.108
91,C12C3C1C23,c4h5_aggregates_ag_a_004_b_004_006_selected_result_019_001_ag_a_004_b_004.xyz,-154.433113,C4H4,52.108
92,C#CC=C,c9h7_aggregates_ag_a_004_b_004_002_selected_result_007_000_ag_a_004_b_004.xyz,-154.521856,C4H4,52.108
94,[CH]CC#C,c9h6_aggregates_ag_a_004_b_004_001_selected_result_000_000_ag_a_004_b_004.xyz,,C4H4,52.108
95,[CH2]C1=C[CH]1,c7h8_aggregates_ag_a_004_b_004_009_selected_result_029_000_ag_a_004_b_004.xyz,-154.490674,C4H4,52.108
93,CC1=C[C]1,c5h5_aggregates_ag_a_004_b_004_004_selected_result_016_000_ag_a_004_b_004.xyz,-154.467522,C4H4,52.108
97,C#C[C]C,c6h10_aggregates_ag_a_004_b_004_007_selected_result_027_000_ag_a_004_b_004.xyz,,C4H4,52.108
98,[C]1[C@H]2C[C@@H]12,c4h5_aggregates_ag_a_004_b_004_000_selected_result_026_001_ag_a_004_b_004.xyz,-154.438494,C4H4,52.108
99,[CH]1[C@H]2[CH][C@@H]12,c7h8_aggregates_ag_a_004_b_004_009_selected_result_031_000_ag_a_004_b_004.xyz,-154.435161,C4H4,52.108
102,[CH]C1C=C1,c8h4_aggregates_ag_a_004_b_004_004_selected_result_013_000_ag_a_004_b_004.xyz,-154.375354,C4H4,52.108
96,[CH2]C#C[CH2],c6h9_aggregates_ag_a_004_b_004_000_selected_result_003_005_ag_a_004_b_004.xyz,-154.517607,C4H4,52.108
123,[CH]=C1CC1,c8h6_aggregates_ag_a_004_b_005_002_selected_result_013_001_ag_a_004_b_005.xyz,-155.065181,C4H5,53.114999999999995
128,[C]=C([CH2])C,c6h8_aggregates_ag_a_004_b_005_007_selected_result_010_002_ag_a_004_b_005.xyz,-155.024534,C4H5,53.114999999999995
127,[C]=CC[CH2],c7h8_aggregates_ag_a_004_b_005_008_selected_result_018_001_ag_a_004_b_005.xyz,-155.001926,C4H5,53.114999999999995
126,C#CC[CH2],c5h9_aggregates_ag_a_004_b_005_000_selected_result_030_002_ag_a_004_b_005.xyz,-155.077034,C4H5,53.114999999999995
125,[CH2]C1C=C1,c6h6_aggregates_ag_a_004_b_005_008_selected_result_014_003_ag_a_004_b_005.xyz,-155.057067,C4H5,53.114999999999995
124,[C]1[CH]CC1,c5h5_aggregates_ag_a_004_b_005_007_selected_result_015_000_ag_a_004_b_005.xyz,-155.068972,C4H5,53.114999999999995
122,C=C1[CH]C1,c7h8_aggregates_ag_a_004_b_005_004_selected_result_007_000_ag_a_004_b_005.xyz,-155.084579,C4H5,53.114999999999995
120,[CH2]C=C=C,c6h8_aggregates_ag_a_004_b_005_005_selected_result_004_003_ag_a_004_b_005.xyz,-155.109324,C4H5,53.114999999999995
119,[CH]1[C@H]2C[C@@H]12,c6h10_aggregates_ag_a_004_b_005_003_selected_result_002_001_ag_a_004_b_005.xyz,-155.054337,C4H5,53.114999999999995
118,[CH2]C1=CC1,c10h8_aggregates_ag_a_004_b_005_002_selected_result_021_005_ag_a_004_b_005.xyz,-155.084582,C4H5,53.114999999999995
117,[CH]=CC=C,c5h8_aggregates_ag_a_004_b_005_008_selected_result_010_000_ag_a_004_b_005.xyz,-155.088467,C4H5,53.114999999999995
116,[CH]1C=CC1,c9h5_aggregates_ag_a_004_b_005_007_selected_result_019_001_ag_a_004_b_005.xyz,-155.103949,C4H5,53.114999999999995
115,[CH2]C#CC,c8h9_aggregates_ag_a_004_b_005_007_selected_result_014_000_ag_a_004_b_005.xyz,-155.111613,C4H5,53.114999999999995
114,C#C[CH]C,c4h8_aggregates_ag_a_004_b_005_002_selected_result_022_000_ag_a_004_b_005.xyz,-155.104914,C4H5,53.114999999999995
121,C1[C]2CC12,c4h9_aggregates_ag_a_004_b_005_003_selected_result_027_000_ag_a_004_b_005.xyz,-155.044667,C4H5,53.114999999999995
141,[CH]/C=C/C,c4h7_aggregates_ag_a_004_b_006_002_selected_result_013_000_ag_a_004_b_006.xyz,-155.660168,C4H6,54.122
142,[CH]CC=C,c4h8_aggregates_ag_a_004_b_006_001_selected_result_016_000_ag_a_004_b_006.xyz,,C4H6,54.122
143,CC1=CC1,c5h8_aggregates_ag_a_004_b_006_009_selected_result_018_000_ag_a_004_b_006.xyz,-155.724323,C4H6,54.122
144,[CH2][CH][C]C,c6h10_aggregates_ag_a_004_b_006_007_selected_result_011_000_ag_a_004_b_006.xyz,-155.66399,C4H6,54.122
148,C=C[C]C,c8h7_aggregates_ag_a_004_b_006_001_selected_result_003_000_ag_a_004_b_006.xyz,-155.664506,C4H6,54.122
146,[C]=CCC,c7h10_aggregates_ag_a_004_b_006_001_selected_result_001_001_ag_a_004_b_006.xyz,,C4H6,54.122
147,[CH][CH][CH]C,c9h9_aggregates_ag_a_004_b_006_009_selected_result_009_000_ag_a_004_b_006.xyz,-155.754109,C4H6,54.122
149,[CH]CC[CH],c7h10_aggregates_ag_a_004_b_006_001_selected_result_008_001_ag_a_004_b_006.xyz,-155.512314,C4H6,54.122
145,C=C1CC1,c6h9_aggregates_ag_a_004_b_006_005_selected_result_013_001_ag_a_004_b_006.xyz,-155.742676,C4H6,54.122
140,C1=CCC1,c4h9_aggregates_ag_a_004_b_006_000_selected_result_004_002_ag_a_004_b_006.xyz,-155.752137,C4H6,54.122
129,[CH]1C[CH]C1,c5h10_aggregates_ag_a_004_b_006_006_selected_result_020_000_ag_a_004_b_006.xyz,-155.625687,C4H6,54.122
138,[CH]C1CC1,c5h8_aggregates_ag_a_004_b_006_004_selected_result_015_000_ag_a_004_b_006.xyz,-155.646959,C4H6,54.122
137,C1[C@H]2C[C@@H]12,c4h9_aggregates_ag_a_004_b_006_003_selected_result_008_000_ag_a_004_b_006.xyz,-155.729122,C4H6,54.122
136,[CH]/C=C\C,c9h9_aggregates_ag_a_004_b_006_009_selected_result_018_000_ag_a_004_b_006.xyz,-155.658617,C4H6,54.122
135,CC#CC,c4h6_aggregates_ag_a_004_b_006_009_selected_result_031_000_ag_a_004_b_006.xyz,-155.757895,C4H6,54.122
134,[C]1CCC1,c4h6_aggregates_ag_a_004_b_006_001_selected_result_024_000_ag_a_004_b_006.xyz,-155.643685,C4H6,54.122
133,C=C=CC,c4h7_aggregates_ag_a_004_b_006_006_selected_result_015_000_ag_a_004_b_006.xyz,-155.754111,C4H6,54.122
132,C=CC=C,c6h8_aggregates_ag_a_004_b_006_007_selected_result_023_002_ag_a_004_b_006.xyz,-155.771971,C4H6,54.122
131,C#CCC,c7h10_aggregates_ag_a_004_b_006_001_selected_result_004_001_ag_a_004_b_006.xyz,-155.746332,C4H6,54.122
130,[CH]C(=C)C,c5h6_aggregates_ag_a_004_b_006_000_selected_result_029_000_ag_a_004_b_006.xyz,-155.643575,C4H6,54.122
139,CC1C=C1,c7h9_aggregates_ag_a_004_b_006_002_selected_result_006_001_ag_a_004_b_006.xyz,-155.717195,C4H6,54.122
158,C/[C]=C/C,c7h8_aggregates_ag_a_004_b_007_002_selected_result_000_000_ag_a_004_b_007.xyz,-156.321442,C4H7,55.129
161,[CH2]C1CC1,c5h9_aggregates_ag_a_004_b_007_009_selected_result_030_003_ag_a_004_b_007.xyz,-156.320952,C4H7,55.129
162,[C]CCC,c4h7_aggregates_ag_a_004_b_007_004_selected_result_004_000_ag_a_004_b_007.xyz,-156.228055,C4H7,55.129
160,[CH]=C(C)C,c8h10_aggregates_ag_a_004_b_007_001_selected_result_031_000_ag_a_004_b_007.xyz,-156.313661,C4H7,55.129
159,C[C@H]1[CH]C1,c5h7_aggregates_ag_a_004_b_007_008_selected_result_031_000_ag_a_004_b_007.xyz,-156.306723,C4H7,55.129
157,C=[C]CC,c5h9_aggregates_ag_a_004_b_007_003_selected_result_019_000_ag_a_004_b_007.xyz,-156.316659,C4H7,55.129
151,[CH2]C(=C)C,c6h10_aggregates_ag_a_004_b_007_005_selected_result_007_000_ag_a_004_b_007.xyz,-156.352045,C4H7,55.129
155,[CH2]CC=C,c5h8_aggregates_ag_a_004_b_007_008_selected_result_009_000_ag_a_004_b_007.xyz,-156.323919,C4H7,55.129
154,[CH]1CCC1,c6h8_aggregates_ag_a_004_b_007_002_selected_result_029_003_ag_a_004_b_007.xyz,-156.320496,C4H7,55.129
153,C[C@@H]1[CH]C1,c4h7_aggregates_ag_a_004_b_007_004_selected_result_029_000_ag_a_004_b_007.xyz,-156.306715,C4H7,55.129
152,[C]C(C)C,c8h10_aggregates_ag_a_004_b_007_009_selected_result_006_000_ag_a_004_b_007.xyz,-156.313666,C4H7,55.129
150,C=C[CH]C,c4h7_aggregates_ag_a_004_b_007_003_selected_result_005_001_ag_a_004_b_007.xyz,-156.356125,C4H7,55.129
156,[CH]=CCC,c4h10_aggregates_ag_a_004_b_007_006_selected_result_002_000_ag_a_004_b_007.xyz,-156.309661,C4H7,55.129
