smiles,serial No.
C(CCCCCCc1ccccc1)CCCCCCC,15086
C(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)(C)(C)C,15089
[C@@H]12[C@H](CCC(=C)[C@H]1CCC(=C2)C)C(C)C,15094
C1([C@H]2C(=C(CCC1)C)CCC(=C2)C)(C)C,15095
[C@H](c1c(cc(cc1)C)C)(CC)C,15141
c1(c2c(c(c3c1cccc3)c1ccccc1)cccc2)c1ccccc1,15159
C1CCCCCC=CCCCC1,15164
C1(CCCCCCC1)C,15167
[C@@H](CCc1ccccc1)(c1ccccc1)C,15203
c12c(Cc3c1cccc3)cccc2C,15256
[C@H]1(CCCc2c1cccc2)C,15262
C(c1ccccc1)C=CC,15263
C(CCCCCCCCCC)CCCCCC(C)C,15264
C(CCCCCC(C)C)CCCCCCCCC,15265
C(CCCCCCCCC)CCCCC(C)C,15266
C(CCCCC(C)C)CCCCCCCC,15267
C(CCCCCCCC)CCCC(C)C,15268
C(CCCC(C)C)CCCCCCC,15269
C(CCCCCCC)CCC(C)C,15270
C1(c2c(c3c1cccc3)cccc2)Cc1ccccc1,15296
C(=CC=C)C,15301
c12c3c(ccc1ccc(c2)C)ccc(c3)C,15304
c12c3c(ccc1cc(cc2)C)cc(cc3)C,15305
c1(c(cccc1)C)CC=C,15317
C(CCC)c1cc(ccc1)C,15327
C(Cc1ccc(cc1)C)CC,15328
[C@H](C=CCC)(C)C=C,15342
[C@@H]12[C@@H](C[C@@H](CC2)C)CC[C@H](C1)C,15379
C(CC(=C)CC)CC,15404
C(CCC)c1c2c(ccc1)cccc2,15414
C1(C2CCCC2)CCCC1,15417
C1(CCCC1)(C)C,15421
C1(CCCC1)CC,15431
C(CCCC=C)CCC=C,15439
C1CCC(=C(C1)C)C,15480
C1(CCCCC1)CC,15504
C1(CCCCC1)CCC,15505
C1(CCCCC1)CCCC,15506
[C@H]1([C@H](CCC[C@H]1C)C)C,15507
C1(CCCCC1)CC(C)C,15508
c12c3c(c4c(cc3)ccc(c4)C)ccc1c1c(cc2)c(ccc1)C,15509
C1CCc2c(C1)cc(cc2)C,15514
C1c2c(CC1)cc(cc2C)C,15518
C1CCC=CC=CC1,15550
c12c(c3c(c(c2)C)cccc3)ccc2c1cccc2,15564
c12c3c4c(c1cccc2c(cc3)C)cccc4,15565
c1(ccccc1)C=CC=CC=Cc1ccccc1,15590
C(CCCCC)CCCC,15600
c12Cc3c(c1cccc2C)cccc3,15604
C(c1ccc(cc1)C=C)(C)(C)C,15627
c1(c(ccc(c1)C)C)CC,15653
[C@@H]1(C[C@@H](CC1)C)C,15656
[C@@H]1(CC=CC1)C,15658
[C@H]1(CC[C@@H](CCC[C@H](CCC[C@H](CC1)C)C)C)C(C)C,15702
C1(CCCCC1)CCCCCCCC,15712
C1(CCCCC1)CCCCCCCCCC,15713
C1(CCCCC1)CCCCCCCCCCCC,15714
C1(CCCCC1)CCCCCCCCCCCCCC,15715
[C@@H]1(C[C@@H](C=C(C1)C)C)C,15716
c1(c(c2ccccc2)cccc1)CC,15742
[C@H](CCC[C@@H](CCCC(C)C)C)(CCCC(C)C)C,15979
C(CC#CCCC)C,16029
C(CC)CC#CCCCC,16030
C(CCC)(c1ccccc1)(C)C,16136
